date,TanChau_Discharge,MyTho_EC,MyTho_Salinity,TanChau_Discharge_lag_1d,TanChau_Discharge_lag_3d,TanChau_Discharge_lag_5d,TanChau_Discharge_lag_7d,TanChau_Discharge_lag_14d,TanChau_Discharge_lag_21d,TanChau_Discharge_lag_30d,TanChau_Discharge_roll_3d,TanChau_Discharge_roll_7d,TanChau_Discharge_roll_14d
1994-01-17,398.26953,22.406451612903226,14.340129032258064,415.16602,452.5664,496.51758,533.32227,654.95215,809.17285,1008.7588,415.4453125,455.2173549107143,518.3082449776786
1994-01-18,381.39648,24.409677419354836,15.622193548387097,398.26953,432.9004,474.33594,516.7656,635.64746,780.46094,1008.21875,398.27734375,435.87890625,500.1474609375
1994-01-19,364.2246,26.412903225806453,16.904258064516128,381.39648,415.16602,452.5664,496.51758,615.88086,753.7949,985.00684,381.296875,416.9799107142857,482.17201450892856
1994-01-20,347.03125,28.416129032258063,18.18632258064516,364.2246,398.26953,432.9004,474.33594,596.75977,731.16016,927.56836,364.2174479166667,398.7935267857143,464.33426339285717
1994-01-21,330.94336,30.419354838709676,19.468387096774194,347.03125,381.39648,415.16602,452.5664,578.7051,711.8418,886.16895,347.3997395833333,381.41880580357144,446.63699776785717
1994-01-22,317.34766,32.42258064516129,20.750451612903227,330.94336,364.2246,398.26953,432.9004,562.041,693.416,871.14355,331.7740885416667,364.91127232142856,429.15890066964283
1994-01-23,307.56055,34.4258064516129,22.03251612903226,317.34766,347.03125,381.39648,415.16602,547.4375,674.41016,864.9209,318.6171875,349.5390625,412.0248325892857
1994-01-24,302.07422,36.42903225806452,23.314580645161293,307.56055,330.94336,364.2246,398.26953,533.32227,654.95215,854.7344,308.994140625,335.796875,395.50711495535717
1994-01-25,300.35938,38.432258064516134,24.596645161290322,302.07422,317.34766,347.03125,381.39648,516.7656,635.64746,835.5928,303.3313802083333,324.2201450892857,380.04952566964283
1994-01-26,301.0586,40.435483870967744,25.878709677419355,300.35938,307.56055,330.94336,364.2246,496.51758,615.88086,809.17285,301.1640625,315.19642857142856,366.08816964285717
1994-01-27,303.0332,42.438709677419354,27.160774193548388,301.0586,302.07422,317.34766,347.03125,474.33594,596.75977,780.46094,301.4837239583333,308.91099330357144,353.85226004464283
1994-01-28,306.03125,44.441935483870964,28.44283870967742,303.0332,300.35938,307.56055,330.94336,452.5664,578.7051,753.7949,303.3743489583333,305.3521205357143,343.38546316964283
1994-01-29,310.5703,46.44516129032258,29.72490322580645,306.03125,301.0586,302.07422,317.34766,432.9004,562.041,731.16016,306.544921875,304.38392857142856,334.64760044642856
1994-01-30,316.8711,48.4483870967742,31.006967741935483,310.5703,303.0332,300.35938,307.56055,415.16602,547.4375,711.8418,311.1575520833333,305.71400669642856,327.6265345982143
1994-01-31,323.8379,50.45161290322581,32.289032258064516,316.8711,306.03125,301.0586,302.07422,398.26953,533.32227,693.416,317.0930989583333,308.82310267857144,322.3099888392857
1994-02-01,329.80664,52.45483870967742,33.57109677419355,323.8379,310.5703,303.0332,300.35938,381.39648,516.7656,674.41016,323.5052083333333,313.0298549107143,318.625
