date,station,lat,lon,conductivity_mS_per_m,unit,grade,approval,obs_type,precip_mm,temp_max_c,temp_min_c,temp_mean_c,et0_mm,wind_max_ms,rh_pct,radiation_mj
1993-08-01,MyTho,10.36,106.36,17.4,mS/m,Unverified data,Raw - Not Yet Reviewed,O,200.8,30.416129032258063,24.299999999999997,26.387096774193548,115.27,4.349032258064516,87.03225806451613,562.76
1993-09-01,MyTho,10.36,106.36,17.6,mS/m,Unverified data,Raw - Not Yet Reviewed,O,343.6,29.873333333333335,23.706666666666667,25.779999999999998,99.72,3.629,89.66666666666667,496.89
1993-10-01,MyTho,10.36,106.36,18.2,mS/m,Unverified data,Raw - Not Yet Reviewed,O,323.9,29.074193548387097,23.093548387096774,25.396774193548385,94.62,2.7638709677419357,90.45161290322581,469.42
1993-11-01,MyTho,10.36,106.36,14.8,mS/m,Unverified data,Raw - Not Yet Reviewed,O,104.89999999999999,29.529999999999998,23.040000000000003,25.863333333333333,101.09,2.7776666666666667,85.13333333333334,490.54
1993-12-01,MyTho,10.36,106.36,16.2,mS/m,Unverified data,Raw - Not Yet Reviewed,O,49.6,28.5258064516129,21.93548387096774,24.825806451612905,103.66,3.041612903225807,80.48387096774194,489.4
1994-01-01,MyTho,10.36,106.36,18.4,mS/m,Unverified data,Raw - Not Yet Reviewed,O,4.8,30.1,22.17096774193548,25.483870967741936,126.94,3.2916129032258064,76.6774193548387,585.23
1994-02-01,MyTho,10.36,106.36,80.5,mS/m,Unverified data,Raw - Not Yet Reviewed,O,11.7,31.682142857142857,23.442857142857143,26.682142857142857,136.79,3.912142857142857,73.0,589.89
1994-03-01,MyTho,10.36,106.36,451.0,mS/m,Unverified data,Raw - Not Yet Reviewed,O,23.0,32.44516129032258,24.506451612903227,27.683870967741935,162.45,4.324838709677419,71.87096774193549,679.64
1994-04-01,MyTho,10.36,106.36,699.0,mS/m,Unverified data,Raw - Not Yet Reviewed,O,71.6,32.87,25.03666666666667,28.176666666666666,147.54,3.2013333333333334,77.5,661.49
1994-05-01,MyTho,10.36,106.36,73.8,mS/m,Unverified data,Raw - Not Yet Reviewed,O,247.5,31.541935483870965,24.929032258064513,27.4,120.09,3.378064516129032,85.03225806451613,558.19
1994-06-01,MyTho,10.36,106.36,32.0,mS/m,Unverified data,Raw - Not Yet Reviewed,O,251.0,30.553333333333335,24.563333333333333,26.673333333333336,109.29,3.854,87.4,529.99
1994-07-01,MyTho,10.36,106.36,18.3,mS/m,Unverified data,Raw - Not Yet Reviewed,O,226.4,29.796774193548387,24.419354838709676,26.34193548387097,110.08,4.679354838709678,86.83870967741936,536.26
1994-08-01,MyTho,10.36,106.36,10.9,mS/m,Unverified data,Raw - Not Yet Reviewed,O,233.0,30.174193548387095,24.164516129032258,26.309677419354838,115.97,4.1332258064516125,86.64516129032258,563.57
1994-09-01,MyTho,10.36,106.36,14.0,mS/m,Unverified data,Raw - Not Yet Reviewed,O,296.7,29.326666666666664,23.82,25.71333333333333,93.03,4.083333333333333,89.36666666666666,458.59
1994-10-01,MyTho,10.36,106.36,18.0,mS/m,Unverified data,Raw - Not Yet Reviewed,O,224.9,29.580645161290324,22.75483870967742,25.55806451612903,114.4,2.737741935483871,86.0,559.23
1994-11-01,MyTho,10.36,106.36,16.7,mS/m,Unverified data,Raw - Not Yet Reviewed,O,21.3,30.42,23.396666666666665,26.540000000000003,125.88,3.1993333333333336,79.36666666666666,589.61
1994-12-01,MyTho,10.36,106.36,14.0,mS/m,Unverified data,Raw - Not Yet Reviewed,O,53.0,29.90967741935484,22.874193548387098,25.9,115.13,3.0961290322580646,79.80645161290323,537.02
1995-01-01,MyTho,10.36,106.36,15.8,mS/m,Unverified data,Raw - Not Yet Reviewed,O,15.2,30.625806451612902,22.635483870967743,25.94516129032258,136.78,3.5493548387096774,73.3225806451613,605.33
1995-02-01,MyTho,10.36,106.36,17.0,mS/m,Unverified data,Raw - Not Yet Reviewed,O,0.9,31.428571428571427,22.521428571428572,26.15357142857143,143.85,3.8232142857142857,70.32142857142857,629.76
1995-03-01,MyTho,10.36,106.36,52.9,mS/m,Unverified data,Raw - Not Yet Reviewed,O,21.5,32.11290322580645,23.993548387096773,27.17096774193548,156.57,4.1567741935483875,73.0,666.54
1995-04-01,MyTho,10.36,106.36,93.9,mS/m,Unverified data,Raw - Not Yet Reviewed,O,9.5,33.806666666666665,25.65666666666667,28.903333333333332,170.45,4.259666666666666,71.56666666666666,708.96
1995-05-01,MyTho,10.36,106.36,603.0,mS/m,Unverified data,Raw - Not Yet Reviewed,O,89.2,33.41612903225807,25.796774193548387,28.787096774193547,151.53,3.508387096774194,76.35483870967742,658.4
1995-06-01,MyTho,10.36,106.36,52.0,mS/m,Unverified data,Raw - Not Yet Reviewed,O,278.3,31.66,25.05,27.40666666666667,118.12,3.477333333333333,85.83333333333333,563.08
1995-07-01,MyTho,10.36,106.36,25.2,mS/m,Unverified data,Raw - Not Yet Reviewed,O,237.3,30.393548387096775,24.116129032258065,26.429032258064517,113.99,3.4403225806451614,87.64516129032258,559.42
1995-08-01,MyTho,10.36,106.36,14.3,mS/m,Unverified data,Raw - Not Yet Reviewed,O,338.3,30.287096774193547,24.20967741935484,26.36774193548387,106.44,3.6416129032258064,89.03225806451613,522.3
1995-09-01,MyTho,10.36,106.36,14.2,mS/m,Unverified data,Raw - Not Yet Reviewed,O,402.5,29.256666666666668,23.876666666666665,25.663333333333334,84.06,3.5126666666666666,91.7,417.25
1995-10-01,MyTho,10.36,106.36,13.4,mS/m,Unverified data,Raw - Not Yet Reviewed,O,311.1,30.19677419354839,23.80322580645161,26.25483870967742,105.51,2.7732258064516127,88.54838709677419,516.95
1995-11-01,MyTho,10.36,106.36,12.8,mS/m,Unverified data,Raw - Not Yet Reviewed,O,107.9,29.256666666666668,23.209999999999997,25.766666666666666,100.71,3.0886666666666667,85.2,488.29
1995-12-01,MyTho,10.36,106.36,15.7,mS/m,Unverified data,Raw - Not Yet Reviewed,O,96.3,28.08709677419355,21.809677419354838,24.52258064516129,101.54,3.1051612903225805,80.90322580645162,481.96
1996-01-01,MyTho,10.36,106.36,15.5,mS/m,Unverified data,Raw - Not Yet Reviewed,O,37.6,28.870967741935484,21.351612903225806,24.54516129032258,113.15,2.9764516129032255,79.61290322580645,542.98
