date,station,lat,lon,conductivity_mS_per_m,unit,grade,approval,obs_type
2000-03-15,TanChau,10.804,105.234,14.5,mS/m,Unverified data,Raw - Not Yet Reviewed,O
2000-04-15,TanChau,10.804,105.234,16.2,mS/m,Unverified data,Raw - Not Yet Reviewed,O
2000-05-15,TanChau,10.804,105.234,15.4,mS/m,Unverified data,Raw - Not Yet Reviewed,O
2000-06-15,TanChau,10.804,105.234,13.75,mS/m,Unverified data,Raw - Not Yet Reviewed,O
2000-07-15,TanChau,10.804,105.234,9.62,mS/m,Unverified data,Raw - Not Yet Reviewed,O
2000-08-15,TanChau,10.804,105.234,11.23,mS/m,Unverified data,Raw - Not Yet Reviewed,O
2000-09-15,TanChau,10.804,105.234,9.93,mS/m,Unverified data,Raw - Not Yet Reviewed,O
2000-10-15,TanChau,10.804,105.234,12.9,mS/m,Unverified data,Raw - Not Yet Reviewed,O
2000-11-15,TanChau,10.804,105.234,12.06,mS/m,Unverified data,Raw - Not Yet Reviewed,O
2000-12-15,TanChau,10.804,105.234,11.5,mS/m,Unverified data,Raw - Not Yet Reviewed,O
2001-01-15,TanChau,10.804,105.234,11.8,mS/m,Unverified data,Raw - Not Yet Reviewed,O
2001-02-15,TanChau,10.804,105.234,13.14,mS/m,Unverified data,Raw - Not Yet Reviewed,O
2001-03-15,TanChau,10.804,105.234,14.82,mS/m,Unverified data,Raw - Not Yet Reviewed,O
2001-04-15,TanChau,10.804,105.234,17.66,mS/m,Unverified data,Raw - Not Yet Reviewed,O
2001-05-15,TanChau,10.804,105.234,17.02,mS/m,Unverified data,Raw - Not Yet Reviewed,O
2001-06-15,TanChau,10.804,105.234,13.71,mS/m,Unverified data,Raw - Not Yet Reviewed,O
2001-07-15,TanChau,10.804,105.234,10.19,mS/m,Unverified data,Raw - Not Yet Reviewed,O
2001-08-15,TanChau,10.804,105.234,10.98,mS/m,Unverified data,Raw - Not Yet Reviewed,O
2001-09-15,TanChau,10.804,105.234,10.39,mS/m,Unverified data,Raw - Not Yet Reviewed,O
2001-10-15,TanChau,10.804,105.234,10.64,mS/m,Unverified data,Raw - Not Yet Reviewed,O
2001-11-15,TanChau,10.804,105.234,13.07,mS/m,Unverified data,Raw - Not Yet Reviewed,O
2001-12-15,TanChau,10.804,105.234,12.12,mS/m,Unverified data,Raw - Not Yet Reviewed,O
2002-01-15,TanChau,10.804,105.234,12.74,mS/m,Unverified data,Raw - Not Yet Reviewed,O
2002-02-15,TanChau,10.804,105.234,14.61,mS/m,Unverified data,Raw - Not Yet Reviewed,O
2002-03-15,TanChau,10.804,105.234,16.49,mS/m,Unverified data,Raw - Not Yet Reviewed,O
2002-04-15,TanChau,10.804,105.234,21.2,mS/m,Unverified data,Raw - Not Yet Reviewed,O
2002-05-15,TanChau,10.804,105.234,20.5,mS/m,Unverified data,Raw - Not Yet Reviewed,O
2002-06-15,TanChau,10.804,105.234,15.97,mS/m,Unverified data,Raw - Not Yet Reviewed,O
2002-07-15,TanChau,10.804,105.234,13.66,mS/m,Unverified data,Raw - Not Yet Reviewed,O
2002-08-15,TanChau,10.804,105.234,10.33,mS/m,Unverified data,Raw - Not Yet Reviewed,O
2002-09-15,TanChau,10.804,105.234,10.62,mS/m,Unverified data,Raw - Not Yet Reviewed,O
2002-10-15,TanChau,10.804,105.234,9.68,mS/m,Unverified data,Raw - Not Yet Reviewed,O
2002-11-15,TanChau,10.804,105.234,10.6,mS/m,Unverified data,Raw - Not Yet Reviewed,O
2002-12-15,TanChau,10.804,105.234,11.21,mS/m,Unverified data,Raw - Not Yet Reviewed,O
2003-01-15,TanChau,10.804,105.234,12.36,mS/m,Unverified data,Raw - Not Yet Reviewed,O
2003-02-15,TanChau,10.804,105.234,14.59,mS/m,Unverified data,Raw - Not Yet Reviewed,O
2003-03-15,TanChau,10.804,105.234,16.63,mS/m,Unverified data,Raw - Not Yet Reviewed,O
