date,station,lat,lon,conductivity_mS_per_m,unit,grade,approval,obs_type
1998-07-15,MyTho,10.36,106.36,21.1,mS/m,Unverified data,Raw - Not Yet Reviewed,O
1998-08-15,MyTho,10.36,106.36,17.9,mS/m,Unverified data,Raw - Not Yet Reviewed,O
1998-09-15,MyTho,10.36,106.36,21.5,mS/m,Unverified data,Raw - Not Yet Reviewed,O
1998-10-15,MyTho,10.36,106.36,17.0,mS/m,Unverified data,Raw - Not Yet Reviewed,O
1998-11-15,MyTho,10.36,106.36,20.9,mS/m,Unverified data,Raw - Not Yet Reviewed,O
1998-12-15,MyTho,10.36,106.36,49.4,mS/m,Unverified data,Raw - Not Yet Reviewed,O
1999-01-15,MyTho,10.36,106.36,17.0,mS/m,Unverified data,Raw - Not Yet Reviewed,O
1999-02-15,MyTho,10.36,106.36,18.2,mS/m,Unverified data,Raw - Not Yet Reviewed,O
1999-03-15,MyTho,10.36,106.36,51.0,mS/m,Unverified data,Raw - Not Yet Reviewed,O
1999-04-15,MyTho,10.36,106.36,98.5,mS/m,Unverified data,Raw - Not Yet Reviewed,O
1999-05-15,MyTho,10.36,106.36,58.3,mS/m,Unverified data,Raw - Not Yet Reviewed,O
1999-06-15,MyTho,10.36,106.36,15.2,mS/m,Unverified data,Raw - Not Yet Reviewed,O
1999-07-15,MyTho,10.36,106.36,13.5,mS/m,Unverified data,Raw - Not Yet Reviewed,O
1999-08-15,MyTho,10.36,106.36,13.8,mS/m,Unverified data,Raw - Not Yet Reviewed,O
1999-09-15,MyTho,10.36,106.36,14.5,mS/m,Unverified data,Raw - Not Yet Reviewed,O
1999-10-15,MyTho,10.36,106.36,13.6,mS/m,Unverified data,Raw - Not Yet Reviewed,O
1999-11-15,MyTho,10.36,106.36,15.6,mS/m,Unverified data,Raw - Not Yet Reviewed,O
1999-12-15,MyTho,10.36,106.36,15.2,mS/m,Unverified data,Raw - Not Yet Reviewed,O
2000-01-15,MyTho,10.36,106.36,23.72,mS/m,Unverified data,Raw - Not Yet Reviewed,O
2000-02-15,MyTho,10.36,106.36,14.4,mS/m,Unverified data,Raw - Not Yet Reviewed,O
2000-03-15,MyTho,10.36,106.36,19.8,mS/m,Unverified data,Raw - Not Yet Reviewed,O
2000-04-15,MyTho,10.36,106.36,20.8,mS/m,Unverified data,Raw - Not Yet Reviewed,O
2000-05-15,MyTho,10.36,106.36,22.6,mS/m,Unverified data,Raw - Not Yet Reviewed,O
2000-06-15,MyTho,10.36,106.36,16.48,mS/m,Unverified data,Raw - Not Yet Reviewed,O
2000-07-15,MyTho,10.36,106.36,8.61,mS/m,Unverified data,Raw - Not Yet Reviewed,O
2000-08-15,MyTho,10.36,106.36,11.45,mS/m,Unverified data,Raw - Not Yet Reviewed,O
2000-09-15,MyTho,10.36,106.36,10.84,mS/m,Unverified data,Raw - Not Yet Reviewed,O
2000-10-15,MyTho,10.36,106.36,12.9,mS/m,Unverified data,Raw - Not Yet Reviewed,O
2000-11-15,MyTho,10.36,106.36,12.59,mS/m,Unverified data,Raw - Not Yet Reviewed,O
2000-12-15,MyTho,10.36,106.36,12.05,mS/m,Unverified data,Raw - Not Yet Reviewed,O
2001-01-15,MyTho,10.36,106.36,12.48,mS/m,Unverified data,Raw - Not Yet Reviewed,O
2001-02-15,MyTho,10.36,106.36,14.15,mS/m,Unverified data,Raw - Not Yet Reviewed,O
2001-03-15,MyTho,10.36,106.36,18.19,mS/m,Unverified data,Raw - Not Yet Reviewed,O
2001-04-15,MyTho,10.36,106.36,14.22,mS/m,Unverified data,Raw - Not Yet Reviewed,O
2001-05-15,MyTho,10.36,106.36,17.15,mS/m,Unverified data,Raw - Not Yet Reviewed,O
2001-06-15,MyTho,10.36,106.36,13.83,mS/m,Unverified data,Raw - Not Yet Reviewed,O
2001-07-15,MyTho,10.36,106.36,12.03,mS/m,Unverified data,Raw - Not Yet Reviewed,O
2001-08-15,MyTho,10.36,106.36,10.62,mS/m,Unverified data,Raw - Not Yet Reviewed,O
2001-09-15,MyTho,10.36,106.36,10.99,mS/m,Unverified data,Raw - Not Yet Reviewed,O
2001-10-15,MyTho,10.36,106.36,10.71,mS/m,Unverified data,Raw - Not Yet Reviewed,O
2001-11-15,MyTho,10.36,106.36,12.19,mS/m,Unverified data,Raw - Not Yet Reviewed,O
2001-12-01,MyTho,10.36,106.36,15.3,mS/m,Unverified data,Raw - Not Yet Reviewed,O
2002-01-15,MyTho,10.36,106.36,14.32,mS/m,Unverified data,Raw - Not Yet Reviewed,O
2002-02-15,MyTho,10.36,106.36,15.67,mS/m,Unverified data,Raw - Not Yet Reviewed,O
2002-03-15,MyTho,10.36,106.36,25.3,mS/m,Unverified data,Raw - Not Yet Reviewed,O
2002-04-15,MyTho,10.36,106.36,78.2,mS/m,Unverified data,Raw - Not Yet Reviewed,O
2002-05-15,MyTho,10.36,106.36,94.5,mS/m,Unverified data,Raw - Not Yet Reviewed,O
2002-06-15,MyTho,10.36,106.36,28.2,mS/m,Unverified data,Raw - Not Yet Reviewed,O
2002-07-15,MyTho,10.36,106.36,13.66,mS/m,Unverified data,Raw - Not Yet Reviewed,O
